year,month,state,data_status,revenue,megawatthours,customers,price,Unnamed: 0,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
2022,7,DE,Final,18623,191957,863,9.7,41766,75.3,73.1,-75.4004040929,38.8870164548
2022,7,FL,Final,144442,1532273,24031,9.43,41767,82.4,80.2,-81.7974638723,28.6284392647
2022,7,GA,Final,357704,3048658,24852,11.73,41768,80.6,78.6,-83.4463418309,32.6492290722
2022,7,IA,Final,217797,2375314,9632,9.17,41772,72.9,71.5,-93.5000649605,42.0746268788
2022,7,ID,Final,103018,1348418,29399,7.64,41769,63.2,60.8,-114.659382348,44.0890895052
2022,7,IL,Final,337398,3707130,5476,9.1,41770,74.6,73.4,-89.1983967614,40.0650409125
2022,7,IN,Final,335799,3749326,19097,8.96,41771,73.8,72.5,-86.2756397346,39.9081412284
2022,7,KS,Final,94086,1060974,24758,8.87,41773,78.4,76.1,-98.3802131736,38.4847081514
2022,7,KY,Final,200727,2411859,5396,8.32,41774,76.2,74.4,-85.2904560935,37.5266674638
2022,7,LA,Final,310564,3443828,20014,9.02,41775,83.4,80.8,-92.5856620163,31.0584069584
2022,7,MA,Final,100989,567776,10574,17.79,41778,69.4,67.0,-71.7986394244,42.2533023991
2022,7,MD,Final,34747,329718,9166,10.54,41777,74.8,72.8,-76.7724546076,39.0369222963
2022,7,ME,Final,24387,216502,2082,11.26,41776,64.0,62.6,-69.2266474552,45.3714334913
2022,7,MI,Final,212313,2446716,5789,8.68,41779,67.1,65.7,-85.4371669561,44.3506813109
2022,7,MN,Final,177004,1844956,9446,9.59,41780,68.0,66.3,-94.3090126515,46.3163329315
2022,7,MO,Final,105425,1168416,9836,9.02,41782,77.4,75.3,-92.4774101578,38.3676131565
2022,7,MS,Final,94659,1422345,11414,6.66,41781,82.2,79.6,-89.6652136847,32.750866634
2022,7,MT,Final,25950,421012,14009,6.16,41783,63.8,62.0,-109.645148622,47.0335364218
2022,7,NC,Final,168698,2501506,9304,6.74,41790,77.0,75.2,-79.3723797543,35.5415341226
